"song_title","register","year","points","peak_rank"
"Blue Boy",3,1958,165,45
"Come Prima",8,1958,162,60
"The Purple People Eater",3,1958,159,24
"Secretly",7,1958,157,28
"Alone With You",5,1958,154,51
"No Chemise, Please",6,1958,138,36
"Break-Up",8,1958,137,52
"Over The Weekend",5,1958,136,62
"Go Chase A Moonbeam",5,1958,133,60
"Leroy",5,1958,123,56
"Midnight",8,1958,109,69
"Return To Me",5,1958,105,48
"The Fool And The Angel",7,1958,104,75
"Count Every Star",5,1958,98,73
"Please Don't Do It",6,1958,95,77
"I Wonder Why",7,1958,95,47
"City Lights",5,1958,88,71
"Real Wild Child",7,1958,85,68
"You're Making A Mistake",6,1958,85,65
"Jennie Lee",7,1958,81,44
"Please Love Me Forever",4,1958,75,61
"Where The Blue Of The Night",5,1958,74,76
"Nothin' Shakin'",5,1958,73,64
"High School Confidential",7,1958,73,63
"(I Wanna) Dance With The Teacher",8,1958,68,71
"Little Red Riding Hood",6,1958,65,72
"You're A Sweetheart",7,1958,65,66
"White Bucks And Saddle Shoes",8,1958,60,74
"Drip Drop",7,1958,59,58
"Borrowed Dreams",7,1958,58,60
"Save My Soul",5,1958,54,73
"Fool's Paradise",7,1958,43,58
"Heartbeat",6,1958,40,82
"A House, A Car And A Wedding Ring",6,1958,38,88
"Little Mary",6,1958,35,72
"Big Man",4,1958,34,67
"Crazy Country Hop",6,1958,31,87
"Prisoner's Song",5,1958,31,81
"Just Married",5,1958,25,76
"Johnny B. Goode",6,1958,21,80
"Beautiful Delilah",8,1958,20,81
"I'll Make It All Up To You",5,1958,16,85
"I Just Thought You'd Like To Know",4,1958,16,85
"To Be Loved",9,1958,15,86
"Come In Stranger",6,1958,14,87
"Down In Virginia",5,1958,13,93
"It's Raining Outside",6,1958,13,93
"Coquette",5,1958,9,92
"Young School Girl",5,1958,9,92
"Invitation To The Blues",6,1958,9,92
"A House, A Car And A Wedding Ring",4,1958,8,93
"Billy Bayou",4,1958,6,95
"Sunday Barbecue",4,1958,4,97
"Going To Chicago Blues",7,1958,1,100
"Itchy Twitchy Feeling",8,1958,1,100
"Mack The Knife",7,1959,2202,1
"He'll Have To Go",4,1959,1929,2
"The Battle Of New Orleans",3,1959,1732,1
"Venus",5,1959,1714,1
"Running Bear",5,1959,1696,1
"Mr. Blue",4,1959,1615,1
"My Heart Is An Open Book",6,1959,1609,3
"Heartaches By The Number",4,1959,1602,1
"El Paso",6,1959,1589,1
"Primrose Lane",5,1959,1497,8
"Put Your Head On My Shoulder",7,1959,1457,2
"You Got What It Takes",7,1959,1445,10
"Handy Man",7,1959,1416,2
"The Three Bells",5,1959,1387,1
"Teen Angel",5,1959,1368,1
"There Goes My Baby",7,1959,1361,2
"Sea Of Love",6,1959,1358,2
"Dream Lover",6,1959,1353,2
"Lonely Boy",7,1959,1343,1
"Pretty Blue Eyes",7,1959,1325,9
"Lavender-Blue",7,1959,1314,3
"We Got Love",7,1959,1304,6
"It's Just A Matter Of Time",4,1959,1304,3
"Robbin' The Cradle",4,1959,1268,25
"Sorry (I Ran All The Way Home)",6,1959,1254,2
"Why",5,1959,1247,1
"Come Softly To Me",4,1959,1236,1
"Oh! Carol",9,1959,1232,9
"Danny Boy",6,1959,1229,10
"Charlie Brown",8,1959,1215,2
"Lonely Street",5,1959,1212,5
"Kansas City",5,1959,1200,1
"A Teenager In Love",5,1959,1185,5
"Never Be Anyone Else But You",4,1959,1153,6
"I'm Gonna Get Married",5,1959,1146,3
"Poison Ivy",8,1959,1146,7
"(Seven Little Girls) Sitting In The Back Seat",5,1959,1145,9
"You're So Fine",8,1959,1138,17
"Where Or When",7,1959,1124,3
"Makin' Love",5,1959,1113,20
"It's Time To Cry",7,1959,1105,4
"Misty",8,1959,1100,12
"Since I Don't Have You",7,1959,1098,12
"Just Ask Your Heart",4,1959,1087,7
"A Big Hunk O' Love",7,1959,1083,1
"What'd I Say (Part I & II)",7,1959,1080,6
"Hound Dog Man",4,1959,1049,9
"Tallahassee Lassie",7,1959,1040,6
"Sea Cruise",6,1959,1039,14
"Tiger",5,1959,1029,3
"Kookie, Kookie (Lend Me Your Comb)",4,1959,1005,4
"Turn Me Loose",5,1959,998,9
"Enchanted",5,1959,997,12
"I Need Your Love Tonight",6,1959,983,4
"I Want To Walk You Home",6,1959,979,8
"Sandy",5,1959,979,15
"It Was I",6,1959,974,11
"Bobby Sox To Stockings",3,1959,971,8
"You Were Mine",5,1959,967,21
"I Only Have Eyes For You",8,1959,959,11
"Alvin's Harmonica",8,1959,947,3
"Thank You Pretty Baby",5,1959,920,16
"It's Late",5,1959,917,9
"The Wonder Of You",7,1959,904,25
"The Children's Marching Song (Nick Nack Paddy Whack)",4,1959,903,16
"Dance With Me",7,1959,903,15
"Just A Little Too Much",6,1959,893,9
"A Boy Without A Girl",4,1959,887,10
"It Doesn't Matter Anymore",5,1959,873,13
"Baby Talk",4,1959,864,10
"Endlessly",4,1959,858,12
"Mona Lisa",5,1959,853,25
"Lucky Devil",4,1959,845,25
"Love Potion No. 9",5,1959,840,23
"My Wish Came True",4,1959,839,12
"Please Mr. Sun",6,1959,839,11
"The Angels Listened In",8,1959,835,22
"Sweeter Than You",7,1959,833,9
"Take A Message To Mary",7,1959,832,16
"I'm Gonna Be A Wheel Some Day",5,1959,818,17
"Woo-Hoo",8,1959,809,16
"Here Comes Summer",4,1959,804,14
"Mary Lou",6,1959,794,26
"That's Why (I Love You So)",8,1959,792,13
"This Should Go On Forever",5,1959,772,20
"Small World",5,1959,768,20
"Shimmy, Shimmy, Ko-Ko-Bop",8,1959,757,24
"I Ain't Never",5,1959,740,24
"Caribbean",5,1959,726,27
"Everybody Likes To Cha Cha Cha",7,1959,700,31
"M.T.A.",5,1959,689,15
"Lonely For You",5,1959,688,24
"I'm Ready",6,1959,679,16
"This I Swear",6,1959,673,26
"The Battle Of Kookamonga",6,1959,671,14
"I Wanna Be Loved",4,1959,666,20
"Living Doll",4,1959,665,30
"I'll Be Satisfied",8,1959,661,20
"For A Penny",6,1959,660,23
"Twixt Twelve And Twenty",5,1959,650,17
"Almost Grown",6,1959,636,32
"Marina",5,1959,616,31
"High School U.S.A.",5,1959,613,28
"My Own True Love",6,1959,612,33
"The Morning Side Of The Mountain",5,1959,609,27
"Don't Take Your Guns To Town",5,1959,607,32
"Since You've Been Gone",7,1959,597,38
"(If You Cry) True Love, True Love",7,1959,583,33
"(I'll Be With You In) Apple Blossom Time",5,1959,573,31
"The Way I Walk",4,1959,563,35
"Mona Lisa",6,1959,538,29
"Talk That Talk",9,1959,537,34
"Only Sixteen",7,1959,523,28
"If I Had A Girl",4,1959,508,31
"My Melancholy Baby",6,1959,455,26
"The Hanging Tree",7,1959,454,38
"You Better Know It",8,1959,443,37
"A Year Ago Tonight",6,1959,434,42
"I Got Stripes",5,1959,432,43
"Mighty Good",5,1959,420,38
"I've Been Around",7,1959,407,33
"What About Us",5,1959,395,47
"Plain Jane",5,1959,387,38
"Shout - Part 1",8,1959,382,47
"Lovers Never Say Goodbye",5,1959,365,52
"Tennessee Stud",4,1959,352,48
"I Go Ape",6,1959,352,42
"Back In The U.S.A.",7,1959,350,37
"I'm A Hog For You",7,1959,348,38
"I've Been There",6,1959,348,53
"Linda Lu",5,1959,347,46
"Darling Lorraine",5,1959,338,46
"Where",6,1959,338,44
"Ten Thousand Drums",5,1959,336,43
"Telling Lies",6,1959,334,50
"Every Little Thing I Do",7,1959,324,48
"Okefenokee",7,1959,323,43
"Run Red Run",5,1959,318,36
"Moonlight Serenade",5,1959,306,47
"(New In) The Ways Of Love",4,1959,303,47
"Margie",5,1959,302,51
"No Love Have I",5,1959,302,54
"Bonaparte's Retreat",4,1959,297,50
"The Class",5,1959,293,38
"Mary Don't You Weep",4,1959,286,41
"Lovey Dovey",6,1959,280,49
"Honey Hush",6,1959,276,53
"Forty Days",6,1959,275,45
"The Shag (Is Totally Cool)",5,1959,274,53
"Let's Try Again",6,1959,267,48
"Johnny Reb",4,1959,252,54
"That's My Little Suzie",9,1959,247,55
"Somethin Else",7,1959,246,58
"Pretend",5,1959,230,57
"I Dig Girls",5,1959,225,46
"Midnight Oil",8,1959,210,55
"Frankie's Man, Johnny",3,1959,207,57
"It Happened Today",6,1959,200,59
"Castin' My Spell",5,1959,199,52
"The Kissing Tree",5,1959,198,60
"Katy Too",3,1959,190,66
"Evening Rain",5,1959,179,63
"Honestly And Truly",5,1959,170,65
"Goodnight My Love (Pleasant Dreams)",7,1959,166,64
"One More Chance",5,1959,165,74
"I Still Get Jealous",7,1959,159,63
"Anthony Boy",5,1959,144,60
"Just To Be With You",7,1959,141,69
"Wish It Were Me",7,1959,134,61
"Beach Time",5,1959,127,64
"Tennessee Waltz",6,1959,125,63
"Smile",5,1959,112,73
"White Lightning",4,1959,106,73
"Flower Of Love",7,1959,97,79
"There Comes A Time",4,1959,90,71
"Crackin Up",7,1959,88,62
"Breaking Up Is Hard To Do",5,1959,88,69
"If You Don't Want My Lovin'",5,1959,77,67
"You Went Back On Your Word",7,1959,77,72
"A Lover's Prayer",7,1959,74,73
"Lonesome Old House",5,1959,74,71
"I Told Myself A Lie",7,1959,72,70
"There, I've Said It Again",8,1959,65,81
"Lonely Saturday Night",3,1959,59,72
"Chapel Of Dreams",5,1959,59,74
"I'm Coming Home",8,1959,56,82
"Five Feet High And Rising",3,1959,54,76
"Sal's Got A Sugar Lip",5,1959,54,81
"Little Queenie",6,1959,52,80
"I Never Felt Like This",5,1959,45,78
"A Prayer And A Juke Box",7,1959,41,81
"Don't Tell Me Your Troubles",5,1959,37,85
"Rockin' In The Jungle",4,1959,36,78
"Talk Of The School",4,1959,33,85
"Little Boy Blue",5,1959,31,88
"Wishful Thinking",7,1959,29,79
"Teardrops On Your Letter",7,1959,28,87
"Shadows",5,1959,27,87
"It's Only The Good Times",5,1959,26,86
"Mary Ann Thomas",7,1959,19,90
"Raining In My Heart",5,1959,19,88
"Twice As Nice",6,1959,17,91
"Love Walked In",7,1959,16,88
"Old Shep",5,1959,13,91
"Little Girl",7,1959,13,92
"Who Shot Sam",7,1959,12,93
"Bad Girl",8,1959,11,93
"Kansas City (Hey-Hey-Hey-Hey)",8,1959,10,95
"Ebb Tide",7,1959,8,93
"(Night Time Is) The Right Time",8,1959,6,95
"Piove (Ciao, Ciao Bambina)",6,1959,4,97
"Don't Take The Stars",5,1959,4,98
"That's All I Want",8,1959,3,98
"Teenage Heaven",7,1959,2,99
"I Looked At Heaven",4,1959,1,100
"The Twist",8,1960,3363,1
"I'm Sorry",7,1960,1782,1
"North To Alaska",5,1960,1708,4
"It's Now Or Never",4,1960,1623,1
"Finger Poppin' Time",8,1960,1579,7
"Greenfields",5,1960,1526,2
"Please Help Me, I'm Falling",5,1960,1512,8
"Save The Last Dance For Me",5,1960,1432,1
"Sink The Bismark",5,1960,1345,3
"Love You So",5,1960,1318,7
"Mission Bell",5,1960,1304,7
"Stay",6,1960,1301,1
"Wild One",6,1960,1295,2
"Chain Gang",7,1960,1294,2
"Kiddio",4,1960,1293,7
"Mule Skinner Blues",8,1960,1293,5
"Devil Or Angel",5,1960,1260,6
"Night",8,1960,1250,4
"What In The World's Come Over You",4,1960,1246,5
"Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini",5,1960,1241,1
"Shop Around",7,1960,1240,2
"Alley-Oop",4,1960,1225,1
"Burning Bridges",3,1960,1219,3
"Poetry In Motion",4,1960,1211,2
"Let The Little Girl Dance",7,1960,1194,7
"Image Of A Girl",4,1960,1193,6
"He Will Break Your Heart",5,1960,1172,7
"Volare",6,1960,1147,4
"Good Timin'",7,1960,1135,3
"Cradle Of Love",7,1960,1127,7
"Let's Go, Let's Go, Let's Go",8,1960,1100,6
"Rubber Ball",5,1960,1087,6
"Walking To New Orleans",6,1960,1079,6
"Alone At Last",7,1960,1076,8
"A Million To One",7,1960,1076,5
"Let It Be Me",7,1960,1074,7
"The Old Lamplighter",4,1960,1060,5
"Beyond The Sea",7,1960,1058,6
"Dreamin'",5,1960,1057,11
"You're Sixteen",7,1960,1051,8
"Mr. Custer",5,1960,1043,1
"Lonely Weekends",5,1960,1041,22
"Lonely Teenager",5,1960,1038,12
"Sleep",6,1960,1014,13
"New Orleans",6,1960,1011,6
"Tell Laura I Love Her",5,1960,1008,7
"Georgia On My Mind",6,1960,990,1
"Corinna, Corinna",7,1960,990,9
"So Sad (To Watch Good Love Go Bad)",7,1960,982,7
"My Girl Josephine",5,1960,977,14
"Wonderful World",5,1960,975,12
"Doggin' Around",8,1960,971,15
"Money (That's what I want)",7,1960,969,23
"Once In Awhile",5,1960,965,11
"Mountain Of Love",4,1960,963,21
"Cherry Pie",5,1960,953,11
"I Love The Way You Love",7,1960,952,9
"You Talk Too Much",5,1960,929,3
"Little Bitty Girl",6,1960,923,19
"Stairway To Heaven",8,1960,915,9
"My Home Town",7,1960,913,8
"Young Emotions",6,1960,888,12
"Step By Step",6,1960,886,14
"Over The Rainbow",5,1960,866,16
"(You Were Made For) All My Love",5,1960,864,12
"The Hucklebuck",7,1960,851,14
"Swingin' School",6,1960,849,5
"Happy-Go-Lucky-Me",6,1960,847,10
"Blue Angel",7,1960,844,9
"Alley-Oop",3,1960,839,15
"Rockin' Little Angel",4,1960,836,22
"Sway",5,1960,832,14
"Midnite Special",4,1960,821,16
"When Will I Be Loved",8,1960,814,8
"Fannie Mae",8,1960,801,38
"Diamonds And Pearls",6,1960,797,18
"(Welcome) New Lovers",5,1960,778,18
"The Twist",8,1960,776,28
"Feel So Fine",5,1960,764,14
"Three Nights A Week",6,1960,761,15
"Artificial Flowers",7,1960,755,20
"Ta Ta",8,1960,751,23
"I Really Don't Want To Know",5,1960,749,18
"Trouble In Paradise",8,1960,732,20
"To Each His Own",7,1960,708,21
"A Woman, A Lover, A Friend",9,1960,695,15
"Hello Young Lovers",8,1960,683,23
"Angela Jones",4,1960,679,27
"Utopia",6,1960,675,27
"Summer's Gone",7,1960,664,11
"This Magic Moment",6,1960,654,16
"Runaround",6,1960,651,23
"Don't Come Knockin'",6,1960,610,21
"Ballad Of The Alamo",7,1960,610,34
"Am I Losing You",6,1960,588,31
"Clementine",6,1960,565,21
"The Hoochi Coochi Coo",7,1960,565,23
"(You've Got To) Move Two Mountains",7,1960,561,20
"Gee Whiz",6,1960,555,28
"There She Goes",6,1960,543,26
"What Am I Living For",7,1960,537,26
"Country Boy",6,1960,533,25
"Ruby",5,1960,530,28
"Big Iron",6,1960,529,26
"Doll House",4,1960,495,31
"There's Something On Your Mind (Part 2)",8,1960,493,31
"Baby What You Want Me To Do",5,1960,455,37
"Am I The Man",8,1960,453,32
"Shimmy Like Kate",8,1960,452,42
"Nobody Loves Me Like You",6,1960,450,30
"I'm Gettin' Better",2,1960,445,37
"Big Boy Pete",8,1960,427,50
"You Are The Only One",3,1960,426,25
"Sad Mood",8,1960,426,29
"Natural Born Lover",5,1960,424,38
"Bad Man Blunder",3,1960,418,37
"Twistin' U.S.A.",6,1960,410,27
"Heartbreak (It's Hurtin' Me)",8,1960,400,38
"It Only Happened Yesterday",3,1960,399,38
"Somebody To Love",6,1960,397,45
"I'm Hurtin'",7,1960,397,27
"Paradise",8,1960,366,46
"Chattanooga Shoe Shine Boy",7,1960,354,34
"Red Sails In The Sunset",8,1960,350,36
"Think",8,1960,344,33
"(I Can't Help You) I'm Falling Too",6,1960,338,39
"Alabam",5,1960,293,63
"Bad Boy",6,1960,285,45
"Walk Slow",8,1960,277,48
"Whole Lotta Shakin' Goin' On",7,1960,264,42
"Earth Angel",4,1960,264,57
"Pink Chiffon",6,1960,244,60
"Too Pooped To Pop (""Casey"")",7,1960,239,42
"Tell Me That You Love Me",6,1960,234,51
"I Missed Me",3,1960,232,44
"Lonely Winds",7,1960,232,54
"Ebb Tide",6,1960,215,56
"Don't Go To Strangers",5,1960,210,36
"Exclusively Yours",6,1960,194,62
"Send Me The Pillow You Dream On",5,1960,189,56
"Teenage Sonata",9,1960,187,50
"All The Love I've Got",7,1960,169,63
"Your Other Love",5,1960,169,54
"Put Your Arms Around Me Honey",5,1960,166,58
"Let It Rock",7,1960,163,64
"Just A Little Bit",7,1960,163,64
"Tell Her For Me",5,1960,156,66
"Nice 'N' Easy",5,1960,149,60
"The Happy Muleteer",6,1960,139,58
"A Cottage For Sale",8,1960,131,63
"Humdinger",5,1960,122,59
"Little Bitty Pretty One",8,1960,121,58
"I Was Such A Fool (To Fall In Love With You)",6,1960,118,71
"Patsy",4,1960,108,65
"Rockin' Red Wing",4,1960,104,64
"Johnny Freedom",4,1960,102,69
"(Baby) Hully Gully",7,1960,101,72
"Sleepy Lagoon",7,1960,101,65
"Far, Far Away",5,1960,94,72
"Cry Cry Cry",4,1960,92,71
"Mio Amore",7,1960,92,74
"If She Should Come To You (La Montana)",4,1960,91,67
"This Old Heart",8,1960,85,79
"Alley-Oop",4,1960,84,59
"Road Runner",6,1960,82,75
"Maria",3,1960,81,78
"Is It Wrong (For Loving You)",7,1960,80,69
"Ain't Gonna Be That Way",8,1960,79,74
"The Urge",6,1960,68,60
"The Brigade Of Broken Hearts",5,1960,68,81
"I'll Be Seeing You",5,1960,63,79
"Easy Lovin'",4,1960,63,70
"Second Honeymoon",4,1960,58,79
"In The Still Of The Nite",7,1960,55,81
"Mister Lonely",4,1960,55,73
"Happy Shades Of Blue",5,1960,50,83
"Riverboat",5,1960,48,83
"Let The Good Times Roll",8,1960,46,78
"Down The Street To 301",6,1960,43,85
"Last Chance",4,1960,42,82
"Hush-Hush",5,1960,41,75
"Is You Is Or Is You Ain't My Baby",7,1960,40,81
"It's Not The End Of Everything",6,1960,40,78
"The Girl With The Story In Her Eyes",7,1960,38,85
"Why I'm Walkin'",5,1960,37,83
"Secret Of Love",7,1960,34,88
"I Can't Say Goodbye",5,1960,32,90
"Cool Water",4,1960,31,85
"Straight A's In Love",5,1960,31,84
"House Of Bamboo",5,1960,30,88
"Jambalaya",7,1960,29,90
"Come Rain Or Come Shine",7,1960,28,83
"Tuxedo Junction",6,1960,27,82
"I Know One",4,1960,26,82
"My Empty Room",8,1960,26,86
"(Do The) Mashed Potatoes (Part 1)",8,1960,26,84
"Before I Grow Too Old",4,1960,25,84
"I'll Take Care Of You",4,1960,24,89
"Found Love",5,1960,23,88
"Over The Mountain; Across The Sea",6,1960,21,89
"Do You Mind?",4,1960,19,91
"Down The Aisle",6,1960,16,91
"What Do You Want?",5,1960,13,93
"Honey Love",6,1960,13,90
"You Were Born To Be Loved",6,1960,11,94
"Whip It On Me",7,1960,10,91
"Honky-Tonk Girl",4,1960,9,92
"Don't Let The Sun Catch You Cryin'",5,1960,9,95
"Little Miss Blue",7,1960,5,96
"She's Just A Whole Lot Like You",3,1960,2,99
"Fallen Angel",6,1960,2,99
"Let Them Talk",6,1960,1,100
"Stand By Me",8,1961,2423,4
"Tossin' And Turnin'",5,1961,1803,1
"Let's Twist Again",8,1961,1504,8
"Peppermint Twist - Part I",5,1961,1503,1
"Pony Time",7,1961,1364,1
"The Wanderer",7,1961,1359,2
"Travelin' Man",6,1961,1349,1
"Runaway",8,1961,1347,1
"Running Scared",8,1961,1326,1
"Bristol Stomp",7,1961,1297,2
"Michael",3,1961,1280,1
"Goodbye Cruel World",5,1961,1277,3
"My True Story",7,1961,1268,3
"Run To Him",5,1961,1254,2
"Runaround Sue",7,1961,1244,1
"The Lion Sleeps Tonight",9,1961,1240,1
"Raindrops",7,1961,1227,2
"Don't Worry",4,1961,1206,3
"Mother-In-Law",6,1961,1194,1
"Walk On By",4,1961,1193,5
"I Like It Like That, Part 1",8,1961,1188,2
"Dear Lady Twist",7,1961,1173,9
"A Hundred Pounds Of Clay",6,1961,1172,3
"Wooden Heart",4,1961,1172,1
"Take Good Care Of My Baby",6,1961,1169,1
"Town Without Pity",5,1961,1154,13
"Hello Mary Lou",5,1961,1148,9
"Quarter To Three",8,1961,1148,1
"Moody River",5,1961,1135,1
"Blue Moon",6,1961,1134,1
"Hit The Road Jack",8,1961,1118,1
"Moon River",7,1961,1115,11
"Fool #1",6,1961,1094,3
"But I Do",6,1961,1094,4
"Happy Birthday, Sweet Sixteen",7,1961,1090,6
"Surrender",6,1961,1072,1
"This Time",7,1961,1068,6
"Daddy's Home",5,1961,1060,2
"I Understand (Just How You Feel)",4,1961,1052,9
"Spanish Harlem",6,1961,1047,10
"A Little Bitty Tear",4,1961,1038,9
"The Fly",7,1961,1032,7
"There's A Moon Out Tonight",5,1961,994,3
"Hats Off To Larry",6,1961,982,5
"Little Sister",5,1961,981,5
"Walk Right Back",7,1961,972,7
"Hello Walls",4,1961,964,12
"Tower Of Strength",7,1961,964,5
"Baby Sittin' Boogie",4,1961,954,6
"Ya Ya",6,1961,917,7
"You're The Reason",4,1961,912,11
"Those Oldies But Goodies (Remind Me Of You)",5,1961,902,9
"Ebony Eyes",7,1961,897,8
"Emotions",7,1961,880,7
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",6,1961,870,7
"My Kind Of Girl",4,1961,870,18
"School Is Out",7,1961,859,5
"Baby Blue",7,1961,859,12
"Gypsy Woman",7,1961,849,20
"The Writing On The Wall",5,1961,847,5
"When The Boy In Your Arms (Is The Boy In Your Heart)",7,1961,843,10
"You Must Have Been A Beautiful Baby",7,1961,842,5
"Just Out Of Reach (Of My Two Open Arms)",6,1961,839,24
"Good Time Baby",5,1961,821,11
"Pretty Little Angel Eyes",6,1961,810,7
"Foot Stomping - Part 1",7,1961,803,25
"Tonight My Love, Tonight",8,1961,781,13
"Heartaches",5,1961,781,7
"Please Stay",7,1961,777,14
"Sea Of Heartbreak",5,1961,773,21
"A Wonder Like You",5,1961,771,11
"(Marie's The Name) His Latest Flame",6,1961,755,4
"Tragedy",5,1961,751,10
"Sweets For My Sweet",6,1961,739,16
"Let The Four Winds Blow",5,1961,732,15
"Peanut Butter",7,1961,729,20
"Dance On Little Girl",8,1961,708,10
"You Always Hurt The One You Love",4,1961,707,12
"Bless You",7,1961,707,15
"Barbara-Ann",5,1961,702,13
"Girl Of My Best Friend",4,1961,700,19
"As If I Didn't Know",4,1961,692,10
"You Can Have Her",4,1961,691,12
"Everlovin'",5,1961,688,16
"One Track Mind",8,1961,681,9
"I Feel So Bad",7,1961,678,5
"Sacred",4,1961,658,20
"When We Get Married",6,1961,658,10
"Once Upon A Time",7,1961,645,26
"My Empty Arms",7,1961,641,9
"Little Boy Sad",4,1961,635,17
"Lazy River",7,1961,623,14
"Model Girl",5,1961,615,20
"Your Ma Said You Cried In Your Sleep Last Night",5,1961,601,24
"Some Kind Of Wonderful",5,1961,597,32
"Amor",4,1961,596,18
"A Little Bit Of Soap",7,1961,588,12
"Rama Lama Ding Dong",7,1961,571,21
"More Money For You And Me",6,1961,568,17
"Rock-A-Hula Baby",5,1961,567,23
"What A Price",5,1961,563,22
"So Long Baby",7,1961,562,28
"Heart And Soul",6,1961,561,18
"It Keeps Rainin'",5,1961,557,23
"Three Hearts In A Tangle",4,1961,552,35
"Find Another Girl",7,1961,546,27
"I'm Comin' On On Back To You",7,1961,511,19
"Do-Re-Mi",6,1961,499,27
"God, Country And My Baby",7,1961,498,18
"What A Party",5,1961,477,22
"Lover's Island",7,1961,472,31
"That's What Girls Are Made For",7,1961,459,27
"I'm A Telling You",8,1961,454,25
"I Really Love You",2,1961,453,29
"Ain't That Just Like A Woman",7,1961,440,33
"That's It - I Quit - I'm Movin' On",7,1961,433,31
"I'll Never Smile Again",6,1961,426,25
"Count Every Star",5,1961,425,35
"The Continental Walk",7,1961,424,33
"The Watusi",7,1961,421,25
"The Switch-A-Roo",7,1961,417,26
"Jambalaya (On The Bayou)",7,1961,410,30
"(Dance The) Mess Around",7,1961,405,24
"Language Of Love",6,1961,398,32
"Pocketful Of Miracles",4,1961,390,34
"(He's) The Great Impostor",5,1961,390,30
"A Tear",7,1961,384,31
"Heart And Soul",6,1961,379,25
"It Will Stand",5,1961,379,61
"To Be Loved (Forever)",6,1961,370,48
"Stayin' In",5,1961,360,33
"(I Wanna) Love My Life Away",7,1961,341,39
"Shu Rah",5,1961,336,32
"Fell In Love On Monday",7,1961,327,32
"Time Was",7,1961,324,45
"Halfway To Paradise",5,1961,322,39
