"song_title","register","year","points","peak_rank"
"Chantilly Lace",4,1958,1829,6
"It's All In The Game",4,1958,1813,1
"A Lover's Question",7,1958,1779,6
"Donna",9,1958,1727,2
"Tom Dooley",4,1958,1714,1
"It's Only Make Believe",4,1958,1663,1
"Rock-in Robin",8,1958,1657,2
"Smoke Gets In Your Eyes",5,1958,1587,1
"Lonely Teardrops",9,1958,1519,7
"16 Candles",7,1958,1517,2
"Stagger Lee",7,1958,1514,1
"Bird Dog",6,1958,1460,2
"Lonesome Town",7,1958,1458,7
"Gotta Travel On",4,1958,1454,4
"Little Star",6,1958,1406,1
"Tears On My Pillow",8,1958,1383,4
"The End",5,1958,1363,7
"Susie Darlin'",4,1958,1355,5
"Nel Blu Dipinto Di Blu (Volaré)",5,1958,1352,1
"One Night",7,1958,1304,4
"Queen Of The Hop",5,1958,1284,9
"The All American Boy",4,1958,1219,2
"I Got A Feeling",6,1958,1194,10
"Problems",7,1958,1168,2
"I Got Stung",5,1958,1165,8
"Whole Lotta Loving",7,1958,1141,6
"Summertime Blues",6,1958,1138,8
"(All of a Sudden) My Heart Sings",8,1958,1138,15
"Bimbombey",6,1958,1096,11
"My True Love",4,1958,1060,3
"Devoted To You",6,1958,1039,10
"I'll Wait For You",5,1958,1021,15
"Love Is All We Need",5,1958,998,15
"How The Time Flies",5,1958,965,11
"You Cheated",5,1958,904,15
"Poor Little Fool",5,1958,902,1
"Western Movies",6,1958,899,8
"Nobody But You",7,1958,897,21
"Fever",5,1958,876,8
"Everybody Loves A Lover",6,1958,863,14
"Are You Really Mine",6,1958,861,10
"La Bamba",7,1958,847,22
"No One Knows",7,1958,842,24
"Love You Most Of All",7,1958,831,26
"Need You",4,1958,807,25
"Win Your Love For Me",5,1958,798,33
"Ginger Bread",6,1958,770,9
"Ten Commandments Of Love",4,1958,770,22
"Willie And The Hand Jive",7,1958,747,9
"Carol",7,1958,610,18
"She Was Only Seventeen (He Was One Year More)",4,1958,602,27
"Splish Splash",6,1958,582,3
"Lazy Summer Night",6,1958,575,21
"Don't Pity Me",7,1958,570,40
"One Summer Night",6,1958,559,16
"Peek-A-Boo",6,1958,547,28
"A Certain Smile",5,1958,523,22
"Try Me",8,1958,514,48
"C'mon Everybody",7,1958,504,35
"La-Do-Dada",6,1958,486,32
"With Your Love",3,1958,472,28
"The Ways Of A Woman In Love",3,1958,461,24
"Over And Over",6,1958,452,41
"Yakety Yak",8,1958,435,7
"Think It Over",6,1958,419,27
"Wiggle, Wiggle",4,1958,411,51
"Blue Blue Day",5,1958,410,32
"Baby Face",7,1958,407,41
"Gee, But It's Lonely",5,1958,405,31
"All Over Again",5,1958,404,38
"Fallin'",7,1958,403,30
"Betty Lou Got A New Pair Of Shoes",7,1958,400,37
"The Ballad Of Thunder Road",5,1958,369,62
"Guess Things Happen That Way",3,1958,368,21
"Sweet Little Rock And Roller",7,1958,354,47
"Look Who's Blue",6,1958,350,58
"Big Bopper's Wedding",4,1958,344,38
"What Am I Living For",6,1958,341,25
"Come On, Let's Go",9,1958,341,42
"Give Myself A Party",5,1958,320,46
"The Wizard",5,1958,308,45
"Do You Want To Dance",7,1958,293,20
"I Wish",6,1958,288,42
"Nine More Miles (The ""Faster-Faster"" Song)",4,1958,281,58
"Endless Sleep",4,1958,277,17
"It's Just About Time",4,1958,275,47
"What Do I Care",3,1958,253,52
"Blue Ribbon Baby",5,1958,218,50
"Don't You Know Yockomo",7,1958,177,56
"The Bluebird, The Buzzard & The Oriole",6,1958,170,54
"Need Your Love",7,1958,170,54
